time,event
0.284,counterexample
0.284,counterexample
0.284,counterexample
0.284,counterexample
0.284,counterexample
0.284,counterexample
0.284,counterexample
0.284,counterexample
0.284,counterexample
0.284,counterexample
0.285,counterexample
0.285,counterexample
0.285,counterexample
0.285,counterexample
0.285,counterexample
0.285,counterexample
0.285,counterexample
0.285,counterexample
0.285,counterexample
0.286,counterexample
0.287,counterexample
0.287,counterexample
0.287,counterexample
0.288,counterexample
0.288,counterexample
0.288,counterexample
0.288,counterexample
0.288,counterexample
0.288,counterexample
0.289,counterexample
0.289,counterexample
0.289,counterexample
0.289,counterexample
0.289,counterexample
0.289,counterexample
0.289,counterexample
0.29,counterexample
0.29,counterexample
0.29,counterexample
0.29,counterexample
0.29,counterexample
0.291,counterexample
0.291,counterexample
0.292,counterexample
0.292,counterexample
0.292,counterexample
0.292,counterexample
0.292,counterexample
0.293,counterexample
0.293,counterexample
0.293,counterexample
0.293,counterexample
0.294,counterexample
0.295,counterexample
0.295,counterexample
0.296,counterexample
0.296,counterexample
0.296,counterexample
0.296,counterexample
0.296,counterexample
0.297,counterexample
0.297,counterexample
0.297,counterexample
0.297,counterexample
0.297,counterexample
0.297,counterexample
0.297,counterexample
0.298,counterexample
0.298,counterexample
0.298,counterexample
0.298,counterexample
0.298,counterexample
0.299,counterexample
0.299,counterexample
0.299,counterexample
0.299,counterexample
0.299,counterexample
0.299,counterexample
0.299,counterexample
0.299,counterexample
0.3,counterexample
0.3,counterexample
0.3,counterexample
0.3,counterexample
0.301,counterexample
0.302,counterexample
0.302,counterexample
0.304,counterexample
0.304,counterexample
0.304,counterexample
0.305,counterexample
0.305,counterexample
0.305,counterexample
0.306,counterexample
0.306,counterexample
0.307,counterexample
0.307,counterexample
0.307,counterexample
0.307,counterexample
0.307,counterexample
0.307,counterexample
0.307,counterexample
0.307,counterexample
0.307,counterexample
0.307,counterexample
0.308,counterexample
0.308,counterexample
0.308,counterexample
0.308,counterexample
0.308,counterexample
0.309,counterexample
0.309,counterexample
0.309,counterexample
0.309,counterexample
0.309,counterexample
0.309,counterexample
0.31,counterexample
0.31,counterexample
0.31,counterexample
0.31,counterexample
0.31,counterexample
0.31,counterexample
0.31,counterexample
0.311,counterexample
0.311,counterexample
0.311,counterexample
0.311,counterexample
0.311,counterexample
0.311,counterexample
0.312,counterexample
0.312,counterexample
0.312,counterexample
0.313,counterexample
0.313,counterexample
0.313,counterexample
0.313,counterexample
0.313,counterexample
0.313,counterexample
0.314,counterexample
0.314,counterexample
0.314,counterexample
0.314,counterexample
0.314,counterexample
0.314,counterexample
0.315,counterexample
0.315,counterexample
0.315,counterexample
0.315,counterexample
0.315,counterexample
0.315,counterexample
0.316,counterexample
0.316,counterexample
0.316,counterexample
0.316,counterexample
0.316,counterexample
0.316,counterexample
0.316,counterexample
0.316,counterexample
0.317,counterexample
0.317,counterexample
0.317,counterexample
0.317,counterexample
0.317,counterexample
0.317,counterexample
0.317,counterexample
0.318,counterexample
0.318,counterexample
0.318,counterexample
0.318,counterexample
0.318,counterexample
0.318,counterexample
0.319,counterexample
0.319,counterexample
0.319,counterexample
0.319,counterexample
0.319,counterexample
0.319,counterexample
0.319,counterexample
0.319,counterexample
